求人番号,職種,仕事の内容,賃金,就業時間,事業所名,URL
27030-32747001,Ｓａｌｅｓｆｏｒｃｅ技術者（東京オフィス／正社員）,現行オンブレ、スクラッチで動いているシステムをＳａｌｅｓｆｏｒｃｅ　Ｅｘｐｅｒｉｅｎｃｅ　Ｃｌｏｕｄにて再構築する。現行調査、要件定義、設計、製造からテストまで一貫して対応頂き,"230,000円〜500,000円","										（1）09時00分〜18時00分
",株式会社　イーエフユーアドウィス,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=2703032747001&kJKbn=1&jGSHNo=aITgv3UXfD7YmiZJUy%2BpkA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
27060-32739801,ＡＳＰ．Ｎｅｔシステムエンジニア（東京）,【内容】システムの開発業務　　　　【言語】ＡＳＰ．Ｎｅｔ　　,"250,000円〜450,000円","										（1）09時00分〜18時00分
",フィット産業　株式会社　関西支社（大阪）,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=2706032739801&kJKbn=1&jGSHNo=WE7gpKnkNli0bEdo9Yzkpw%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-00341402,オープン系開発技術者,＊プログラミング・基本設計・テスト、要件定義などスキルに合わ　せた仕事からスタートし、キャリアアップを目指します。,"200,000円〜450,000円","										（1）09時00分〜18時00分
",株式会社　アイリス,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301000341402&kJKbn=1&jGSHNo=MNnwLa%2BktMO%2FZmC4Ivcgmg%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-00389002,ソフト開発ＰＧ（組込系）,■以下のいずれかの経験者歓迎■　組込みソフトウェアの制作～検証作業　（通信キャリア系、携帯電話、情報家電、通信機器）,"220,000円〜440,000円","										（1）09時00分〜17時30分
",（事業所の意向により公開していません）,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301000389002&kJKbn=1&jGSHNo=B2PEtUfOA707ebDF3WbI7Q%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-00391102,ソフト開発ＳＥ（組込系）,■以下のいずれかの経験者歓迎　組込みソフトウェアの設計～制作～検証作業　（通信キャリア系、携帯電話、情報家電、通信機器）,"250,000円〜440,000円","										（1）09時00分〜17時30分
",（事業所の意向により公開していません）,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301000391102&kJKbn=1&jGSHNo=B2PEtUfOA707ebDF3WbI7Q%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-00393702,ソフト開発ＰＧ（Ｗｅｂ系）,■以下いずれかのＷｅｂ系言語の経験者歓迎　Ｊａｖａ、ＶＢ．ｎｅｔ、Ｃ＃、Ｃ＋＋、ＰＨＰ,"220,000円〜440,000円","										（1）09時00分〜17時30分
",株式会社　東日本技術研究所　東京事業所,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301000393702&kJKbn=1&jGSHNo=B2PEtUfOA707ebDF3WbI7Q%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-00423802,Ｊａｖａエンジニア,自社およびクライアント先でのシステムの設計・開発・運用本社または当社のクライアント先にて、Ｊａｖａを用いたソフトウ,"200,000円〜450,000円","										（1）09時00分〜18時00分
",株式会社　ゼストエンタープライズ,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301000423802&kJKbn=1&jGSHNo=yCSGYykrgFOjPVgnK0EnxA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-00424202,ＰＨＰエンジニア,自社およびクライアント先でのシステムの設計・開発・運用本社または当社のクライアント先にて、Ｗｅｂ系のソフトウェアの,"200,000円〜450,000円","										（1）09時00分〜18時00分
",株式会社　ゼストエンタープライズ,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301000424202&kJKbn=1&jGSHNo=yCSGYykrgFOjPVgnK0EnxA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-00426602,ＳＱＬエンジニア,自社およびクライアント先での、システムの設計・開発・運用本社または当社のクライアント先にてＳＱＬを用いたソフトウェア,"200,000円〜450,000円","										（1）09時00分〜18時00分
",株式会社　ゼストエンタープライズ,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301000426602&kJKbn=1&jGSHNo=yCSGYykrgFOjPVgnK0EnxA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-00427002,ＰＬ－ＳＱＬエンジニア,自社およびクライアント先での、システムの設計・開発・運用本社または当社のクライアント先にてＰＬ－ＳＱＬを用いたソフト,"200,000円〜450,000円","										（1）09時00分〜18時00分
",株式会社　ゼストエンタープライズ,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301000427002&kJKbn=1&jGSHNo=yCSGYykrgFOjPVgnK0EnxA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-00428302,ＶＢＡエンジニア（Ａｃｃｅｓｓ、Ｅｘｃｅｌ）,自社およびクライアント先でのシステムの設計・開発・運用本社または当社のクライアント先にて、ＶＢＡを用いたソフトウェ,"200,000円〜450,000円","										（1）09時00分〜18時00分
",株式会社　ゼストエンタープライズ,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301000428302&kJKbn=1&jGSHNo=yCSGYykrgFOjPVgnK0EnxA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-00429902,ＣＯＢＯＬエンジニア,自社およびクライアント先でのシステムの設計・開発・運用本社または当社のクライアント先にて、主にＣＯＢＯＬを用いたソ,"200,000円〜450,000円","										（1）09時00分〜18時00分
",株式会社　ゼストエンタープライズ,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301000429902&kJKbn=1&jGSHNo=yCSGYykrgFOjPVgnK0EnxA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-00430702,．Ｎｅｔ系エンジニア,自社およびクライアント先でのシステムの設計・開発・運用本社または当社のクライアント先にて、オープン系（ＶＢ．ｎｅｔ,"200,000円〜450,000円","										（1）09時00分〜18時00分
",株式会社　ゼストエンタープライズ,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301000430702&kJKbn=1&jGSHNo=yCSGYykrgFOjPVgnK0EnxA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-00431802,ネットワーク系エンジニア,自社およびクライアント先で、ネットワーク設計・構築・運用保守等の作業に従事して頂きます。,"200,000円〜450,000円","										（1）09時00分〜18時00分
",株式会社　ゼストエンタープライズ,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301000431802&kJKbn=1&jGSHNo=yCSGYykrgFOjPVgnK0EnxA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-00432202,サーバー系エンジニア,自社およびクライアント先での、サーバー設計・構築・運用保守作業に従事して頂きます。,"200,000円〜450,000円","										（1）09時00分〜18時00分
",株式会社　ゼストエンタープライズ,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301000432202&kJKbn=1&jGSHNo=yCSGYykrgFOjPVgnK0EnxA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-00433502,制御・組込系エンジニア,自社及びクライアント先でのシステムの設計、開発、運用主に当社クライアント先にて、Ｃ、Ｃ＋＋を用いたソフトウェアの設計、開発をご担当いただきます。,"200,000円〜450,000円","										（1）09時00分〜18時00分
",株式会社　ゼストエンタープライズ,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301000433502&kJKbn=1&jGSHNo=yCSGYykrgFOjPVgnK0EnxA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-00714502,システムエンジニア,・当社の顧客は大手Ｓｉｅｒ（システム開発会社）からの直取引が　ほとんどです。・案件は、ビジネス課題や案件をヒアリングし、システムの要件定,"220,000円〜280,000円","										（1）09時00分〜18時00分
",株式会社　マネジメント・ジャパン,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301000714502&kJKbn=1&jGSHNo=c6sVCM4k6eMfHxeZiTI7jw%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-00816402,クラウドサーバ運用保守,クラウドサーバ運用保守のお仕事です。・３年以上のブランク、転職回数の多い方も歓迎・他県からのご応募の方も安心です。※寮あり,"320,000円〜450,000円","										（1）09時00分〜18時00分
",キャル株式会社（東京本部）,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301000816402&kJKbn=1&jGSHNo=yzkxhxrq%2Bm6UNDafcKlKMw%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-00817702,ＩｏＴシステム開発技術者,ＩｏＴシステムの開発のお仕事です。・３年以上のブランク、転職回数の多い方、応募可・他県からのご応募の方も歓迎※寮あり,"270,000円〜500,000円","										（1）09時00分〜18時00分
",キャル株式会社（東京本部）,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301000817702&kJKbn=1&jGSHNo=yzkxhxrq%2Bm6UNDafcKlKMw%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13090-38070901,Ｗｉｎｄｏｗｓサーバ運用保守作業（大手町）,Ｗｉｎｄｏｗｓサーバシステムを中心とした基盤システムの運用保守作業（セキュリティパッチやバージョンアップ、更改案件など）,"300,000円〜400,000円","										（1）09時00分〜18時00分
",株式会社　富士三和総研,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1309038070901&kJKbn=1&jGSHNo=TjhxT%2FdiSnmNMF%2FegoUYxA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
27030-32565901,Ｐｙｔｈｏｎ技術者（ＰＧ／ＳＥ）／東京オフィス,＊Ｐｙｔｈｏｎでのシステム開発経験者の募集です。　［使用言語・環境等］　　Ｐｙｔｈｏｎ,"230,000円〜600,000円","										（1）09時00分〜18時00分
",株式会社　イーエフユーアドウィス,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=2703032565901&kJKbn=1&jGSHNo=aITgv3UXfD7YmiZJUy%2BpkA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-00054802,社内技術部管理（ＧＭ）,技術業務管理全般を担当して頂きます。・社内外システム対応業務・エンジニア教育、指導業務,"250,000円〜500,000円","										（1）09時00分〜17時45分
",フィット産業株式会社,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301000054802&kJKbn=1&jGSHNo=Yl0LGUJlwstE%2F%2BqkjXcR2Q%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-00113902,システム開発（ＳＥ）,金融／勘定系のシステム設計・開発言語／ツール：ＶＢ．ＮＥＴ、ＶＢ、ＡｃｃｅｓｓＶＢＡ,"200,000円〜400,000円","										（1）09時00分〜17時45分
",フィット産業株式会社,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301000113902&kJKbn=1&jGSHNo=Yl0LGUJlwstE%2F%2BqkjXcR2Q%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-00172902,システム設計・開発（ＳＥ）,内容　：金融系システムの改善ツール：ｂａｓｈＤＢ　：Ｐｏｓｔｇｒｅ　ＳＱＬ,"200,000円〜400,000円","										（1）09時00分〜17時45分
",フィット産業株式会社,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301000172902&kJKbn=1&jGSHNo=Yl0LGUJlwstE%2F%2BqkjXcR2Q%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-00192202,カスタマー・プロジェクト・マネージャー,モバイル・ネットワーク（通信事業者向け）プロジェクト管理業務全般,"400,000円〜650,000円","										（1）09時00分〜18時00分
",インターフュージョン　株式会社,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301000192202&kJKbn=1&jGSHNo=ZEB2oSO%2Bi0YZELeFkexzwQ%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-99740501,システムエンジニア,主に法人向けの業務システムの設計、開発を担当していただきます。（設計、プログラミング、試験、導入、保守）,"250,000円〜430,000円","										（1）09時00分〜18時00分
",株式会社　スキルジー,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301099740501&kJKbn=1&jGSHNo=CBac3z2V7t2tQPjVNimhkw%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-99879801,ネットワークエンジニア,Ｃｉｓｃｏ社（ルータ、スイッチ等）、無線ＬＡＮ、バランサー、ネットワーク各種の設計構築、運用保守,"190,000円〜270,000円","										（1）09時00分〜18時00分
",株式会社　エスティーシー,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301099879801&kJKbn=1&jGSHNo=HhEh8QNW1gO7dH95vsf06w%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-99958701,システムアーキテクト,１．業務プロセスのコンサルティング、基幹系統合業務パッケージの導入に際し、機能拡張要求対応２．パッケージシステムのカスタマイズ・アドオン開発プロジェク,"356,000円〜536,000円","										（1）09時00分〜17時30分
",株式会社センチュリー・システムズ,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301099958701&kJKbn=1&jGSHNo=Y5zwPe2UfgiJ5zFo5KWi5Q%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
12080-18686201,システムエンジニア（Ｗｅｂ・オープン系）／正社員,Ｗｅｂシステムほかシステム設計、開発などＪａｖａ、ＶＢ．ＮＥＴ、Ｃ♯．ＮＥＴ、ＡＳＰ．ＮＥＴ、Ｃ、Ｃ,"220,000円〜500,000円","										（1）09時00分〜18時00分
",株式会社　ビーワン,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1208018686201&kJKbn=1&jGSHNo=i7n4%2Bm0aoNsHx8lzDspC2A%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-99144501,検証技術者,・ｉＯＳ／ＡｎｄｒｏｉｄやＵｎｉｔｙのソフトウェアテストに　おけるテスト計画、テスト設計、テスト実装、テスト管理、　テスト実施,"260,000円〜350,000円","										（1）10時00分〜19時00分
",株式会社　モバイルインターネットテクノロジー,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301099144501&kJKbn=1&jGSHNo=JqA0F6MH0vGfFTi27iVRAA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-99305601,インフラ構築エンジニア,ＩＴインフラ全般における業務にて、設計・構築・テスト・保守等を担当していただきます。,"250,000円〜430,000円",フレックスタイム制,株式会社　プリンスソフト,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301099305601&kJKbn=1&jGSHNo=DyTMFyYSdMuZbe2dzefvRQ%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-99342701,ＩＴスペシャリスト,ユーザー目線でインフラを構築して頂きます。各種インフラ（サーバー、ネットワーク、ストレージ、データベー,"250,000円〜500,000円","										（1）09時00分〜18時00分
",スタックテクノロジー株式会社,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301099342701&kJKbn=1&jGSHNo=SZ9tun%2Fxh5ir9fVBe9YqYA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-99510701,ＩＴエンジニア,自社開発製品である映像配信システム「Ｂｉｚｌａｔ（ビズラット）」を筆頭とする自社製品の要件定義からサポートまでをトータルにお任せします。,"250,000円〜500,000円","										（1）09時30分〜18時30分
",（事業所の意向により公開していません）,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301099510701&kJKbn=1&jGSHNo=h0ZZBlxfbEFhE7Tjo2EBaQ%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-99656401,ＣＯＢＯＬプログラマー、ＳＥ／正社員／共済、ＩＢＭ汎用機,ＩＢＭ汎用機を使用した、ＣＯＢＯＬやＰＬ／Ｉによる業務アプリケーションの設計及び開発をして頂きます。開発案件は、共済の建物更新共済システム、年金系システム等です。,"249,000円〜450,000円","										（1）09時00分〜18時00分
",株式会社ＣＯＢＯＬ,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301099656401&kJKbn=1&jGSHNo=kSqJ1vviRy%2F6uZ32vjdtMQ%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-98683001,ＪＡＶＡエンジニア,ＪａｖａエンジニアＪａｖａ開発のお仕事です。,"270,000円〜450,000円","										（1）09時00分〜18時00分
",キャル株式会社（東京本部）,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301098683001&kJKbn=1&jGSHNo=yzkxhxrq%2Bm6UNDafcKlKMw%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-98693601,Ｌｉｎｕｘ運用設計,Ｌｉｎｕｘシステムでのシステム運用設計業務になります。既に稼働中のシステムの改善や管理に携わっていただきます。,"270,000円〜450,000円","										（1）09時00分〜18時00分
",キャル株式会社（東京本部）,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301098693601&kJKbn=1&jGSHNo=yzkxhxrq%2Bm6UNDafcKlKMw%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-98697701,ＤＢ設計、改修,ＤＢ設計、改修のお仕事です。・３年以上のブランク、転職回数の多い方応募可・他県からのご応募の方も安心です。※寮あり,"320,000円〜550,000円","										（1）09時00分〜18時00分
",キャル株式会社（東京本部）,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301098697701&kJKbn=1&jGSHNo=yzkxhxrq%2Bm6UNDafcKlKMw%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-98871901,コンサルタント補助,・ＩＴコンサルタントや経営コンサルタントの業務補助が主な業務となります。・未経験からでもコンサルタントを目指せます。,"213,423円〜320,197円","										（1）09時00分〜18時00分
",株式会社　プライムハート,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301098871901&kJKbn=1&jGSHNo=VXaq49VmL1Wz%2FP3TJwyj9Q%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-98873401,システムエンジニア（基幹業務系エンジニア）自社内勤務,製造業、流通業（商社、卸売、他）などの業務アプリケーションの設計・開発１．要件定義,"380,000円〜580,000円","										（1）09時00分〜17時30分
",株式会社センチュリー・システムズ,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301098873401&kJKbn=1&jGSHNo=Y5zwPe2UfgiJ5zFo5KWi5Q%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-98876201,自社内勤務　ＢＩエンジニア,プライムでお客様との折衝力や調整力を発揮していただきながら、データ分析の業務知識を有するエンジニアとして、データ分析システムの要件定義～設計、開発、テスト、運用・活用支援までの一連,"410,000円〜600,000円","										（1）09時00分〜17時30分
",株式会社センチュリー・システムズ,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301098876201&kJKbn=1&jGSHNo=Y5zwPe2UfgiJ5zFo5KWi5Q%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
27060-31557601,システムエンジニア／東京支店,システム開発を上流から下流まで担当して頂きます。様々な顧客要望に対してシステム化を実現します。,"250,000円〜500,000円","										（1）09時00分〜18時00分
",株式会社　システムインクリメント,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=2706031557601&kJKbn=1&jGSHNo=IZSzcblp7ac3aAE7ShIT1g%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
14010-48247501,コンサルタント補助（秋葉原）,ＩＴコンサルタント業務が主な業務となります。・未経験からでもＩＴコンサルタントを目指せます。・社内研修が充実しておりますので、技術面のサポートにはより力,"206,000円〜300,000円","										（1）09時00分〜18時00分
",株式会社　Ｔｅｃｈｎｏ　ｆｏｒｃｅ,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1401048247501&kJKbn=1&jGSHNo=ENa94x99aXSmpFZn6L%2BcIg%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
14010-48255501,ＩＴサポート事務（秋葉原）,ＩＴプロジェクト・マネジャー業務が主な業務となります。・未経験からでもプロジェクト・マネージャーを目指せます。・社内研修が充実しておりますので、技術面のサポートにはより,"206,000円〜300,000円","										（1）09時00分〜18時00分
",株式会社　Ｔｅｃｈｎｏ　ｆｏｒｃｅ,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1401048255501&kJKbn=1&jGSHNo=ENa94x99aXSmpFZn6L%2BcIg%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
14010-48323401,システムエンジニア／プログラマー（秋葉原）,ＰＣで各種言語でプログラムを書いて、設計・構築・開発を行います。未経験からでもプログラマー、システムエンジニアを目指せます。,"206,000円〜300,000円","										（1）09時00分〜18時00分
",株式会社　Ｔｅｃｈｎｏ　ｆｏｒｃｅ,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1401048323401&kJKbn=1&jGSHNo=ENa94x99aXSmpFZn6L%2BcIg%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
23020-60015101,システムエンジニア・プログラマ〔東京都千代田区〕,ソフトウェア（主にオンラインゲーム、オンラインサービス向けシステム）のシステムエンジニアリング、プログラミング等の開発業務（Ｃ／Ｃ＋＋、ＰＨＰなど）　　　　　　　　　　　　　　　　,"180,000円〜223,000円",裁量労働制,株式会社　プロファイア,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=2302060015101&kJKbn=1&jGSHNo=ifsqMog1DfyQqjlmnThMTQ%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
27030-31615001,ＰＨＰ技術者（ＰＧ／ＳＥ）／東京オフィス,＊ＰＨＰでのシステム開発経験者の募集です。　［使用言語・環境等］　　ＰＨＰ,"230,000円〜550,000円","										（1）09時00分〜18時00分
",株式会社　イーエフユーアドウィス,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=2703031615001&kJKbn=1&jGSHNo=aITgv3UXfD7YmiZJUy%2BpkA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
27030-31631001,Ｊａｖａ技術者（ＰＧ／ＳＥ）／東京オフィス,＊Ｊａｖａでのシステム開発経験者の募集です。　［使用言語・環境等］　　Ｊａｖａ,"230,000円〜550,000円","										（1）09時00分〜18時00分
",株式会社　イーエフユーアドウィス,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=2703031631001&kJKbn=1&jGSHNo=aITgv3UXfD7YmiZJUy%2BpkA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
